,id,title,director,cast,country,release_year,genre_types,rating,duration,description,popularity,production_companies,writers,combined,original_title
3621,598,city of god,"Fernando Meirelles, Katia Lund","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga","Brazil, France, Germany",2002,"Dramas, Independent Movies, International Movies",R,130 min,"Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.",46.45,"O2 Filmes, VideoFilmes, Wild Bunch, Hank Levine Film, Globo Filmes, Lumière, Lei do Audiovisual Ministério da Cultura Audiovisual","Paulo Lins, Bráulio Mantovani","fernando meirelles, katia lundalexandre rodrigues, leandro firmino, phellipe haagensen, douglas silva, jonathan haagensen, matheus nachtergaele, seu jorge, jefechander suplino, alice bragabrazil, france, germany2002",City of God
3622,408626,city of tiny lights,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird",United Kingdom,2016,"Dramas, International Movies, Thrillers",TV-MA,110 min,"In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker.",11.83,"Sixteen Films, BBC Film, MEDIA Programme of the European Union, UK Film Council, NDF International, Fel-UK",Patrick Neate,"pete travisriz ahmed, billie piper, james floyd, cush jumbo, roshan seth, hannah rae, antonio aakeel, george sargeant, alexander siddig, vincent regan, barry airdunited kingdom2016",City of Tiny Lights
3623,626258,clarence clemons: who do i think i am?,Nick Mead,Clarence Clemons,United States,2019,"Documentaries, Music & Musicals",TV-MA,88 min,This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.,1.94,,,nick meadclarence clemonsunited states2019,Clarence Clemons: Who Do I Think I Am?
3624,10323,clash of the titans,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","United States, United Kingdom, Australia",2010,"Action & Adventure, Sci-Fi & Fantasy",PG-13,106 min,"If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.",40.19,"Peerford Ltd., Metro-Goldwyn-Mayer, Charles H. Schneer Productions, Titan Productions",Beverley Cross,"louis leterriersam worthington, liam neeson, ralph fiennes, jason flemyng, gemma arterton, alexa davalos, tine stapelfeldt, mads mikkelsen, luke evansunited states, united kingdom, australia2010",Clash of the Titans
3625,101125,class of '61,Gregory Hoblit,"Christien Anholt, Andre Braugher, Dan Futterman, Josh Lucas, Clive Owen, Sophie Ward, Sue-Ann Leeds, Laura Linney",United States,1993,Dramas,TV-PG,91 min,"As the Civil War looms, a runaway slave seeks freedom, and West Point cadets find their camaraderie shattered as they choose between North or South.",2.32,"Amblin Entertainment, Universal Television",Jonas McCord,"gregory hoblitchristien anholt, andre braugher, dan futterman, josh lucas, clive owen, sophie ward, sue-ann leeds, laura linneyunited states1993",Class of '61
3626,399896,class rank,Eric Stoltz,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang",United States,2018,Comedies,TV-MA,103 min,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",7.16,"SSS Entertainment, LB Entertainment",Benjamin August,"eric stoltzolivia holt, skyler gisondo, kristin chenoweth, bruce dern, nick krause, kathleen chalfant, peter maloney, rod mclachlan, hawn tran, danni wangunited states2018",Class Rank
3627,26196,cleopatra jones,Jack Starrett,"Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters",United States,1973,"Action & Adventure, Classic Movies",PG,89 min,"A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.",5.88,"Warner Bros. Pictures, William Tennant Productions","Sheldon Keller, Max Julien","jack starretttamara dobson, bernie casey, brendasykes, esther rolle, shelley wintersunited states1973",Cleopatra Jones
3628,9339,click,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Joseph Castanon, Jonah Hill, Jake Hoffman, Jennifer Coolidge",United States,2006,"Comedies, Sci-Fi & Fantasy",PG-13,108 min,Overworked Michael Newman stumbles on a universal remote control that gives him the power to pause or fast-forward through scenes in his life.,41.24,"Original Film, Revolution Studios, Columbia Pictures, Happy Madison Productions","Mark O'Keefe, Steve Koren","frank coraciadam sandler, kate beckinsale, christopher walken, david hasselhoff, henry winkler, julie kavner, sean astin, joseph castanon, jonah hill, jake hoffman, jennifer coolidgeunited states2006",Click
3629,453205,clive davis: the soundtrack of our lives,Chris Perkel,Clive Davis,United States,2017,"Documentaries, Music & Musicals",TV-MA,124 min,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.,4.59,"Scott Free Productions, IM Global, Apple",,chris perkelclive davisunited states2017,Clive Davis: The Soundtrack of Our Lives
3630,100888,closed circuit,John Crowley,"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Barbora Bobulova, Jemma Powell","United Kingdom, United States",2013,"Dramas, Thrillers",R,96 min,"Martin and Claudia, top-flight lawyers who happen to be former lovers, become targets when they're teamed up to defend a notorious terrorist.",2.03,,Nicola Badalucco,"john crowleyeric bana, rebecca hall, ciarán hinds, riz ahmed, anne-marie duff, kenneth cranham, julia stiles, jim broadbent, denis moschitto, barbora bobulova, jemma powellunited kingdom, united states2013",Closed Circuit
